XA1;XA2;XA3;XYA;XXA;XB4;XB5;XB6;XYB;XXB;XC7;XC8;XC9;XYC;XXC;Y_TTH;Y_TTH_X
3;4;2;3;3.0;4;4;4;4;4.0;4;4;3;4;3.7;3.7;3.6
4;3;3;3;3.3;3;4;3;3;3.3;4;3;3;3;3.3;3.0;3.3
4;3;3;3;3.3;3;4;3;3;3.3;3;3;3;3;3.0;3.0;3.2
4;4;4;4;4.0;4;4;4;4;4.0;4;4;4;4;4.0;4.0;4.0
3;4;3;3;3.3;3;4;3;3;3.3;3;4;3;3;3.3;3.0;3.3
4;3;3;3;3.3;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.6
3;3;2;3;2.7;3;4;3;3;3.3;4;4;4;4;4.0;3.3;3.3
4;3;3;3;3.3;3;2;3;3;2.7;3;4;3;4;3.3;3.3;3.1
4;3;3;3;3.3;4;5;4;4;4.3;3;3;3;3;3.0;3.3;3.6
3;4;2;3;3.0;3;4;3;3;3.3;3;3;3;3;3.0;3.0;3.1
3;4;2;3;3.0;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.4
4;3;3;3;3.3;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.6
3;4;3;3;3.3;4;3;3;3;3.3;4;4;3;4;3.7;3.3;3.4
3;4;3;3;3.3;3;3;3;3;3.0;4;3;3;3;3.3;3.0;3.2
4;4;3;4;3.7;4;4;3;4;3.7;4;3;3;4;3.3;4.0;3.6
3;4;2;3;3.0;3;4;3;3;3.3;4;3;3;4;3.3;3.3;3.2
3;4;2;3;3.0;4;4;4;4;4.0;4;4;3;4;3.7;3.7;3.6
4;3;3;3;3.3;3;4;3;3;3.3;4;3;3;3;3.3;3.0;3.3
4;3;3;3;3.3;3;4;3;3;3.3;3;3;3;3;3.0;3.0;3.2
4;4;4;4;4.0;4;4;4;4;4.0;4;4;4;4;4.0;4.0;4.0
3;4;3;3;3.3;3;4;3;3;3.3;3;4;3;3;3.3;3.0;3.3
4;3;3;3;3.3;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.6
3;3;2;3;2.7;3;4;3;3;3.3;4;4;4;4;4.0;3.3;3.3
4;3;3;3;3.3;3;2;3;3;2.7;3;4;3;4;3.3;3.3;3.1
4;3;3;3;3.3;4;5;4;4;4.3;3;3;3;3;3.0;3.3;3.6
3;4;2;3;3.0;3;4;3;3;3.3;3;3;3;3;3.0;3.0;3.1
3;4;2;3;3.0;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.4
4;3;3;3;3.3;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.6
3;4;3;3;3.3;4;3;3;3;3.3;4;4;3;4;3.7;3.3;3.4
3;4;3;3;3.3;3;3;3;3;3.0;4;3;3;3;3.3;3.0;3.2
4;4;3;4;3.7;4;4;3;4;3.7;4;3;3;4;3.3;4.0;3.6
3;4;2;3;3.0;3;4;3;3;3.3;4;3;3;4;3.3;3.3;3.2
3;4;2;3;3.0;4;4;4;4;4.0;4;4;3;4;3.7;3.7;3.6
4;3;3;3;3.3;3;4;3;3;3.3;4;3;3;3;3.3;3.0;3.3
4;3;3;3;3.3;3;4;3;3;3.3;3;3;3;3;3.0;3.0;3.2
4;4;4;4;4.0;4;4;4;4;4.0;4;4;4;4;4.0;4.0;4.0
3;4;3;3;3.3;3;4;3;3;3.3;3;4;3;3;3.3;3.0;3.3
4;3;3;3;3.3;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.6
3;3;2;3;2.7;3;4;3;3;3.3;4;4;4;4;4.0;3.3;3.3
4;3;3;3;3.3;3;2;3;3;2.7;3;4;3;4;3.3;3.3;3.1
4;3;3;3;3.3;4;5;4;4;4.3;3;3;3;3;3.0;3.3;3.6
3;4;2;3;3.0;3;4;3;3;3.3;3;3;3;3;3.0;3.0;3.1
3;4;2;3;3.0;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.4
4;3;3;3;3.3;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.6
3;4;3;3;3.3;4;3;3;3;3.3;4;4;3;4;3.7;3.3;3.4
3;4;3;3;3.3;3;3;3;3;3.0;4;3;3;3;3.3;3.0;3.2
4;4;3;4;3.7;4;4;3;4;3.7;4;3;3;4;3.3;4.0;3.6
3;4;2;3;3.0;3;4;3;3;3.3;4;3;3;4;3.3;3.3;3.2
4;3;3;3;3.3;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.6
3;3;2;3;2.7;3;4;3;3;3.3;4;4;4;4;4.0;3.3;3.3
3;4;4;4;3.7;3;3;3;3;3.0;4;4;4;4;4.0;3.7;3.6
2;3;2;2;2.3;3;2;3;3;2.7;3;3;2;3;2.7;2.7;2.6
2;3;2;3;2.3;4;4;3;3;3.7;4;4;3;4;3.7;3.3;3.2
4;4;4;4;4.0;3;3;3;3;3.0;4;4;4;4;4.0;3.7;3.7
4;4;4;4;4.0;3;3;3;3;3.0;4;4;4;4;4.0;3.7;3.7
2;3;2;3;2.3;2;3;3;3;2.7;3;3;2;3;2.7;3.0;2.6
2;3;2;3;2.3;3;3;2;3;2.7;4;3;3;3;3.3;3.0;2.8
3;3;3;3;3.0;3;3;3;3;3.0;4;4;3;4;3.7;3.3;3.2
2;3;3;3;2.7;2;3;2;2;2.3;4;3;2;3;3.0;2.7;2.7
2;4;3;3;3.0;3;3;2;3;2.7;3;3;2;3;2.7;3.0;2.8
4;4;4;4;4.0;3;4;4;3;3.7;4;4;4;4;4.0;3.7;3.9
2;4;3;3;3.0;2;3;3;3;2.7;3;3;2;3;2.7;3.0;2.8
2;4;3;3;3.0;3;4;3;3;3.3;4;3;2;3;3.0;3.0;3.1
2;4;3;3;3.0;3;3;3;3;3.0;3;3;2;3;2.7;3.0;2.9
2;3;2;2;2.3;3;4;2;3;3.0;3;3;3;3;3.0;2.7;2.8
2;3;2;2;2.3;3;4;3;3;3.3;4;4;4;4;4.0;3.0;3.2
2;3;2;3;2.3;3;4;3;3;3.3;3;3;3;3;3.0;3.0;2.9
2;3;2;2;2.3;3;4;3;3;3.3;3;3;3;3;3.0;2.7;2.9
3;4;3;3;3.3;3;4;3;3;3.3;4;3;2;4;3.0;3.3;3.2
4;3;4;4;3.7;3;3;3;3;3.0;3;4;3;3;3.3;3.3;3.3
4;4;4;4;4.0;3;3;3;3;3.0;4;4;4;4;4.0;3.7;3.7
4;4;3;4;3.7;4;4;4;4;4.0;3;4;3;4;3.3;4.0;3.7
3;3;2;3;2.7;3;3;3;3;3.0;4;3;2;3;3.0;3.0;2.9
4;4;4;4;4.0;3;3;3;3;3.0;4;4;4;4;4.0;3.7;3.7
2;3;2;3;2.3;3;3;4;3;3.3;4;4;2;4;3.3;3.3;3.0
4;4;4;4;4.0;3;3;3;3;3.0;4;4;4;4;4.0;3.7;3.7
3;3;2;3;2.7;3;3;3;3;3.0;3;3;4;3;3.3;3.0;3.0
3;4;4;3;3.7;4;3;4;4;3.7;4;4;4;4;4.0;3.7;3.8
3;3;2;3;2.7;3;3;3;3;3.0;4;4;4;4;4.0;3.3;3.2
3;4;4;4;3.7;3;4;4;4;3.7;4;4;4;4;4.0;4.0;3.8
4;4;4;4;4.0;3;3;3;3;3.0;4;4;4;4;4.0;3.7;3.7
3;3;4;3;3.3;3;2;2;2;2.3;3;3;3;3;3.0;2.7;2.9
3;4;3;3;3.3;3;3;3;3;3.0;3;4;3;3;3.3;3.0;3.2
4;4;3;4;3.7;4;4;4;4;4.0;3;3;4;3;3.3;3.7;3.7
2;3;3;3;2.7;3;2;3;3;2.7;3;3;2;3;2.7;3.0;2.7
3;4;3;3;3.3;3;2;3;3;2.7;3;3;2;3;2.7;3.0;2.9
2;3;2;3;2.3;3;3;3;3;3.0;3;3;3;3;3.0;3.0;2.8
3;4;3;3;3.3;4;4;4;4;4.0;3;3;2;3;2.7;3.3;3.3
2;2;2;2;2.0;3;2;2;3;2.3;4;3;2;3;3.0;2.7;2.4
3;3;2;3;2.7;4;3;3;3;3.3;4;3;2;4;3.0;3.3;3.0
2;3;2;2;2.3;3;2;3;3;2.7;3;3;3;3;3.0;2.7;2.7
4;4;4;4;4.0;3;3;4;3;3.3;4;4;4;4;4.0;3.7;3.8
2;3;3;3;2.7;3;2;3;3;2.7;4;4;3;4;3.7;3.3;3.0
4;4;4;4;4.0;3;3;3;3;3.0;4;4;4;4;4.0;3.7;3.7
4;4;4;4;4.0;3;3;3;3;3.0;4;4;4;4;4.0;3.7;3.7
3;4;2;3;3.0;3;2;3;3;2.7;4;4;4;4;4.0;3.3;3.2
3;4;3;3;3.3;3;3;3;3;3.0;3;3;3;3;3.0;3.0;3.1
4;4;4;4;4.0;3;3;3;3;3.0;4;4;4;4;4.0;3.7;3.7
4;4;4;4;4.0;3;3;3;3;3.0;4;4;4;4;4.0;3.7;3.7
3;4;4;4;3.7;4;3;3;4;3.3;4;4;4;4;4.0;4.0;3.7
4;3;2;3;3.0;4;3;3;3;3.3;3;3;3;3;3.0;3.0;3.1
3;4;3;3;3.3;4;3;3;3;3.3;4;3;3;3;3.3;3.0;3.3
4;3;3;3;3.3;4;3;3;4;3.3;4;4;3;4;3.7;3.7;3.4
2;3;3;3;2.7;4;3;4;4;3.7;4;4;3;4;3.7;3.7;3.3
3;4;4;4;3.7;3;3;4;3;3.3;3;3;3;3;3.0;3.3;3.3
3;3;2;3;2.7;3;3;2;3;2.7;3;4;3;3;3.3;3.0;2.9
3;3;3;3;3.0;2;3;3;3;2.7;3;3;3;3;3.0;3.0;2.9
3;3;3;3;3.0;2;2;2;2;2.0;3;3;3;3;3.0;2.7;2.7
3;3;2;3;2.7;4;4;3;4;3.7;4;4;4;4;4.0;3.7;3.4
3;3;2;3;2.7;3;2;3;3;2.7;3;3;3;3;3.0;3.0;2.8
3;4;3;3;3.3;3;3;3;3;3.0;3;3;3;3;3.0;3.0;3.1
3;4;4;4;3.7;3;3;4;3;3.3;4;3;4;4;3.7;3.7;3.6
4;4;3;4;3.7;4;3;3;3;3.3;3;3;3;3;3.0;3.3;3.3
3;4;3;3;3.3;3;4;3;3;3.3;3;3;3;3;3.0;3.0;3.2
4;4;4;4;4.0;3;3;3;3;3.0;4;4;4;4;4.0;3.7;3.7
4;4;4;4;4.0;3;3;3;3;3.0;4;3;4;3;3.7;3.3;3.6
3;3;3;4;3.0;3;4;4;4;3.7;3;3;3;3;3.0;3.7;3.2
4;4;4;4;4.0;4;4;4;4;4.0;3;3;3;3;3.0;3.7;3.7
3;4;3;3;3.3;3;4;3;3;3.3;3;3;3;3;3.0;3.0;3.2
3;3;2;3;2.7;4;4;3;4;3.7;4;4;4;4;4.0;3.7;3.4
4;4;4;4;4.0;4;3;4;4;3.7;4;4;4;4;4.0;4.0;3.9
4;4;4;4;4.0;4;4;4;4;4.0;3;3;3;3;3.0;3.7;3.7
3;3;2;3;2.7;3;4;3;3;3.3;4;4;4;4;4.0;3.3;3.3
3;3;2;3;2.7;4;3;3;3;3.3;4;4;3;4;3.7;3.3;3.2
3;3;2;3;2.7;3;3;3;3;3.0;3;4;3;3;3.3;3.0;3.0
3;3;2;3;2.7;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.3
4;4;3;4;3.7;3;3;3;3;3.0;3;3;3;3;3.0;3.3;3.2
4;3;4;3;3.7;3;4;4;3;3.7;4;4;4;4;4.0;3.3;3.8
4;3;3;4;3.3;3;4;3;3;3.3;4;3;3;3;3.3;3.3;3.3
4;3;3;3;3.3;3;4;3;3;3.3;4;4;3;4;3.7;3.3;3.4
3;3;2;3;2.7;3;4;3;3;3.3;4;4;2;4;3.3;3.3;3.1
3;4;2;3;3.0;3;4;3;3;3.3;4;4;3;4;3.7;3.3;3.3
3;4;3;3;3.3;4;4;3;4;3.7;4;4;3;4;3.7;3.7;3.6
3;4;3;3;3.3;3;3;2;3;2.7;3;4;3;3;3.3;3.0;3.1
3;3;3;3;3.0;3;4;3;3;3.3;4;3;3;3;3.3;3.0;3.2
3;3;2;3;2.7;4;3;3;3;3.3;4;3;4;3;3.7;3.0;3.2
3;4;3;3;3.3;3;3;4;3;3.3;4;4;3;4;3.7;3.3;3.4
3;4;3;3;3.3;3;3;2;3;2.7;3;4;3;3;3.3;3.0;3.1
3;3;2;3;2.7;3;3;2;3;2.7;3;4;3;3;3.3;3.0;2.9
3;3;2;3;2.7;3;3;3;3;3.0;3;4;3;3;3.3;3.0;3.0
4;4;3;4;3.7;4;4;3;4;3.7;4;4;3;4;3.7;4.0;3.7
4;4;4;4;4.0;3;3;3;3;3.0;4;4;3;3;3.7;3.3;3.6
3;3;3;3;3.0;4;3;3;3;3.3;3;3;3;3;3.0;3.0;3.1
3;3;3;3;3.0;3;3;3;3;3.0;3;3;3;3;3.0;3.0;3.0
3;3;2;3;2.7;2;2;3;2;2.3;3;3;3;3;3.0;2.7;2.7
3;3;3;3;3.0;4;4;4;4;4.0;3;3;3;3;3.0;3.3;3.3
3;3;3;3;3.0;4;4;4;4;4.0;3;3;3;3;3.0;3.3;3.3
3;3;3;3;3.0;2;3;2;2;2.3;3;3;3;3;3.0;2.7;2.8
3;2;2;3;2.3;4;3;3;3;3.3;4;3;3;3;3.3;3.0;3.0
3;3;3;3;3.0;3;3;3;3;3.0;3;3;3;3;3.0;3.0;3.0
3;3;3;3;3.0;4;3;3;3;3.3;3;3;3;3;3.0;3.0;3.1
3;3;3;3;3.0;3;3;3;3;3.0;2;2;2;2;2.0;2.7;2.7
3;3;3;3;3.0;3;3;3;3;3.0;3;3;3;3;3.0;3.0;3.0
4;4;4;4;4.0;3;3;3;3;3.0;3;3;3;3;3.0;3.3;3.3
2;3;3;3;2.7;3;3;3;3;3.0;3;3;3;3;3.0;3.0;2.9
3;3;3;3;3.0;3;3;3;3;3.0;3;3;3;3;3.0;3.0;3.0
3;3;3;3;3.0;3;3;3;3;3.0;4;4;4;4;4.0;3.3;3.3
3;3;3;3;3.0;3;3;3;3;3.0;3;3;3;3;3.0;3.0;3.0
3;3;3;3;3.0;3;2;2;3;2.3;3;3;3;s;3.0;3.0;2.8
3;3;3;3;3.0;3;3;3;3;3.0;3;3;3;3;3.0;3.0;3.0
3;3;3;3;3.0;3;3;3;3;3.0;3;3;3;3;3.0;3.0;3.0
3;3;4;3;3.3;3;3;3;3;3.0;3;3;3;3;3.0;3.0;3.1
3;3;3;3;3.0;3;3;3;3;3.0;3;3;3;3;3.0;3.0;3.0
4;4;4;4;4.0;4;4;4;4;4.0;3;3;3;3;3.0;3.7;3.7
3;3;3;3;3.0;3;3;3;3;3.0;4;4;4;4;4.0;3.3;3.3
4;4;4;4;4.0;4;4;4;4;4.0;4;4;4;4;4.0;4.0;4.0
3;3;3;3;3.0;3;4;4;3;3.7;3;3;4;3;3.3;3.0;3.3
4;4;4;4;4.0;3;3;3;3;3.0;3;3;4;3;3.3;3.3;3.4
3;3;3;3;3.0;4;4;4;4;4.0;3;3;4;3;3.3;3.3;3.4
3;3;3;3;3.0;3;3;3;3;3.0;3;3;2;3;2.7;3.0;2.9
4;4;4;4;4.0;4;4;3;4;3.7;3;3;3;3;3.0;3.7;3.6
2;2;2;2;2.0;3;3;2;3;2.7;4;3;2;3;3.0;2.7;2.6
1;2;2;2;1.7;3;3;3;3;3.0;4;3;3;3;3.3;2.7;2.7
2;3;3;3;2.7;2;3;2;2;2.3;3;4;2;3;3.0;2.7;2.7
2;2;1;2;1.7;2;3;2;3;2.3;3;3;3;3;3.0;2.7;2.3
2;3;3;3;2.7;2;3;2;2;2.3;3;4;3;3;3.3;2.7;2.8
3;3;2;3;2.7;2;3;3;3;2.7;3;3;3;3;3.0;3.0;2.8
2;2;2;2;2.0;3;4;3;3;3.3;3;3;2;3;2.7;2.7;2.7
2;2;1;2;1.7;3;3;3;3;3.0;3;3;2;3;2.7;2.7;2.4
1;2;1;2;1.3;2;3;2;3;2.3;3;3;2;3;2.7;2.7;2.1
1;2;2;2;1.7;3;3;3;3;3.0;3;3;2;3;2.7;2.7;2.4
2;3;2;2;2.3;3;4;3;3;3.3;3;3;2;3;2.7;2.7;2.8
1;2;1;2;1.3;2;2;2;2;2.0;3;3;2;3;2.7;2.3;2.0
2;3;2;2;2.3;3;3;2;3;2.7;3;3;2;3;2.7;2.7;2.6
2;2;1;2;1.7;3;3;2;3;2.7;3;3;2;3;2.7;2.7;2.3
2;2;3;2;2.3;4;3;3;3;3.3;3;3;3;3;3.0;2.7;2.9
2;2;2;2;2.0;3;4;3;3;3.3;3;3;2;3;2.7;2.7;2.7
1;2;2;2;1.7;3;3;2;3;2.7;4;3;3;3;3.3;2.7;2.6
2;2;1;2;1.7;3;3;3;3;3.0;3;3;2;3;2.7;2.7;2.4
2;2;3;2;2.3;4;3;3;3;3.3;3;3;2;3;2.7;2.7;2.8
2;3;2;2;2.3;3;3;2;3;2.7;3;3;2;3;2.7;2.7;2.6
3;3;2;3;2.7;3;3;2;3;2.7;2;4;3;3;3.0;3.0;2.8
3;3;2;3;2.7;3;3;2;3;2.7;2;4;3;3;3.0;3.0;2.8
1;2;1;2;1.3;2;3;2;3;2.3;3;3;3;3;3.0;2.7;2.2
2;2;1;2;1.7;3;3;2;3;2.7;3;3;2;3;2.7;2.7;2.3
2;2;1;2;1.7;3;2;3;2;2.7;3;3;2;3;2.7;2.3;2.3
3;3;3;3;3.0;3;3;3;3;3.0;4;4;3;4;3.7;3.3;3.2
3;4;4;4;3.7;3;3;3;3;3.0;3;3;3;3;3.0;3.3;3.2
4;5;4;4;4.3;5;4;4;4;4.3;5;4;5;4;4.7;4.0;4.4
4;3;3;3;3.3;3;4;4;4;3.7;3;4;4;3;3.7;3.3;3.6
4;3;3;3;3.3;3;4;4;4;3.7;3;4;4;3;3.7;3.3;3.6
3;4;3;3;3.3;3;4;4;4;3.7;3;4;4;4;3.7;3.7;3.6
4;4;4;4;4.0;4;4;3;4;3.7;3;3;3;3;3.0;3.7;3.6
4;4;3;4;3.7;3;3;3;3;3.0;3;3;3;3;3.0;3.3;3.2
4;4;4;4;4.0;4;4;4;4;4.0;4;4;4;4;4.0;4.0;4.0
3;4;3;3;3.3;4;3;3;3;3.3;3;4;4;4;3.7;3.3;3.4
4;3;3;3;3.3;3;4;4;4;3.7;3;3;4;3;3.3;3.3;3.4
4;3;4;4;3.7;4;3;3;3;3.3;4;3;4;3;3.7;3.3;3.6
3;4;3;3;3.3;4;3;3;3;3.3;4;3;4;3;3.7;3.0;3.4
3;3;2;3;2.7;3;4;3;3;3.3;3;3;3;3;3.0;3.0;3.0
3;4;3;3;3.3;3;3;3;3;3.0;4;4;4;4;4.0;3.3;3.4
3;3;3;3;3.0;3;3;3;3;3.0;4;4;4;4;4.0;3.3;3.3
3;3;3;3;3.0;4;4;4;4;4.0;4;4;4;4;4.0;3.7;3.7
3;4;3;3;3.3;4;3;3;3;3.3;3;3;4;4;3.3;3.3;3.3
3;3;3;3;3.0;3;3;4;3;3.3;4;4;4;4;4.0;3.3;3.4
4;4;4;4;4.0;4;4;4;4;4.0;3;3;3;3;3.0;3.7;3.7
3;3;2;3;2.7;3;3;3;3;3.0;4;4;4;4;4.0;3.3;3.2
4;3;4;3;3.7;4;3;3;3;3.3;3;4;4;4;3.7;3.3;3.6
4;3;3;3;3.3;4;3;3;3;3.3;3;4;4;4;3.7;3.3;3.4
3;4;3;3;3.3;4;3;3;3;3.3;3;4;4;4;3.7;3.3;3.4
3;3;3;3;3.0;3;3;3;3;3.0;4;4;4;4;4.0;3.3;3.3
3;4;3;3;3.3;4;4;3;3;3.7;3;4;4;4;3.7;3.3;3.6
3;3;3;3;3.0;3;3;3;3;3.0;4;4;4;4;4.0;3.3;3.3
4;4;4;4;4.0;4;4;4;4;4.0;4;4;4;4;4.0;4.0;4.0
3;3;3;3;3.0;3;3;4;3;3.3;3;3;4;3;3.3;3.0;3.2
3;3;3;3;3.0;3;3;3;3;3.0;4;3;3;3;3.3;3.0;3.1
3;3;3;3;3.0;3;4;3;3;3.3;4;4;4;4;4.0;3.3;3.4
4;3;3;3;3.3;4;3;4;4;3.7;4;4;4;4;4.0;3.7;3.7
4;3;2;3;3.0;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.4
4;4;3;4;3.7;3;4;4;4;3.7;4;4;3;4;3.7;4.0;3.7
3;3;2;3;2.7;3;4;3;3;3.3;4;4;4;4;4.0;3.3;3.3
3;3;2;3;2.7;3;4;3;3;3.3;4;4;4;4;4.0;3.3;3.3
3;4;3;3;3.3;4;3;4;4;3.7;4;4;4;4;4.0;3.7;3.7
3;3;2;3;2.7;3;3;3;3;3.0;3;4;3;4;3.3;3.3;3.0
4;3;3;3;3.3;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.6
4;4;3;4;3.7;3;4;3;3;3.3;4;4;4;4;4.0;3.7;3.7
2;3;3;3;2.7;3;4;3;3;3.3;4;4;4;4;4.0;3.3;3.3
4;4;3;4;3.7;4;3;3;3;3.3;4;4;3;4;3.7;3.7;3.6
4;3;3;3;3.3;4;4;3;4;3.7;4;4;4;4;4.0;3.7;3.7
4;4;3;4;3.7;4;3;4;4;3.7;4;4;4;4;4.0;4.0;3.8
4;3;3;3;3.3;3;4;3;3;3.3;4;4;4;4;4.0;3.3;3.6
4;3;3;3;3.3;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.6
3;4;3;3;3.3;4;3;4;4;3.7;4;4;4;4;4.0;3.7;3.7
2;3;3;3;2.7;3;4;3;3;3.3;4;4;4;4;4.0;3.3;3.3
3;4;3;3;3.3;3;3;3;3;3.0;3;3;3;3;3.0;3.0;3.1
