FID,Field1,lat,lon,ser
0,1,-37.749215999999997,175.672877000000000,T
1,2,-43.262878000000001,170.365494000000010,H
2,3,-37.676901000000001,175.469467000000010,P
3,4,-37.278556000000002,175.439028000000010,B
4,5,-37.250984000000003,175.598191000000010,C
5,6,-37.642330999999999,175.359714999999990,T
6,7,-38.025224999999999,176.216388999999990,H
7,8,-44.174650999999997,171.264130999999990,P
8,9,-44.171627999999998,171.207368000000000,B
9,10,-44.169882000000001,171.218211000000000,C
10,11,-38.365141999999999,175.092019999999990,T
11,12,-35.476455000000001,173.690779999999990,H
12,13,-35.281165000000001,173.988460000000000,P
13,14,-37.870505999999999,175.395270000000010,B
14,15,-37.922777000000004,175.413570999999990,C
15,16,-43.643077900000002,171.599126500000010,T
16,17,-39.217607999999998,176.849274000000010,H
17,18,-46.430067000000001,169.649931000000010,P
18,19,-46.438774000000002,169.609430000000000,B
19,20,-46.296168999999999,169.742615000000000,C
20,21,-46.264842999999999,169.818025000000010,T
21,22,-45.952520000000000,170.179790000000000,H
22,23,-46.120362999999998,169.505608000000000,P
23,24,-46.311230000000002,169.746998999999990,B
24,25,-39.402214000000001,173.883227000000010,C
25,26,-39.436535999999997,174.000898000000010,T
26,27,-39.354883000000001,173.957212000000000,H
27,28,-39.406582000000000,174.112057999999990,P
28,29,-35.857284999999997,173.785857999999990,B
29,30,-39.410615999999997,174.150869000000000,C
30,31,-39.579224000000004,174.376987000000010,T
31,32,-39.374625999999999,174.255991999999990,H
32,33,-39.343238599999999,174.227508800000010,P
33,34,-39.178463999999998,174.226908000000010,B
34,35,-39.112524000000001,174.264495000000010,C
35,36,-36.282060999999999,174.667870999999990,T
36,37,-37.231569000000000,175.623619999999990,H
37,38,-37.568800000000003,175.335850999999990,P
38,39,-37.092139000000003,174.813254000000000,B
39,40,-37.324713000000003,174.908199000000000,C
40,41,-37.302661999999998,174.756641000000000,T
41,42,-38.313195899999997,176.793133700000000,H
42,43,-38.426682599999999,176.783252699999990,P
43,44,-37.218932000000002,175.549408000000000,B
44,45,-37.293512999999997,175.597646999999990,C
45,46,-37.785549000000003,175.443822000000010,T
46,47,-39.967666999999999,175.510417999999990,H
47,48,-35.697980000000001,173.954685000000010,P
48,49,-35.507480000000001,174.223097000000000,B
49,50,-35.596311999999998,174.281240000000000,C
50,51,-35.707895999999998,174.136219000000010,T
51,52,-41.191577000000002,175.421615000000000,H
52,53,-40.008128999999997,175.420220000000000,P
53,54,-37.534194999999997,175.518259000000000,B
54,55,-37.678567000000001,175.760908000000000,C
55,56,-40.790215000000003,175.146346999999990,T
56,57,-40.671767000000003,175.307525000000000,H
57,58,-40.475020999999998,175.301892000000010,P
58,59,-40.476379000000001,175.323081000000000,B
59,60,-40.562255000000000,175.252645000000000,C
60,61,-40.561762999999999,175.340894999999990,T
61,62,-37.888043000000003,175.791818000000010,H
62,63,-41.824967999999998,172.450707999999990,P
63,64,-37.717275000000001,175.246386000000000,B
64,65,-42.769072999999999,172.837757000000010,C
65,66,-39.157943000000003,174.071833000000000,T
66,67,-39.202066000000002,174.091579999999990,H
67,68,-42.754179999999998,172.819905199999990,P
68,69,-42.808656999999997,172.852438000000010,B
69,70,-35.612203000000001,174.261737000000010,C
70,71,-35.707304000000001,174.157164999999990,T
71,72,-35.150559999999999,173.210240000000000,H
72,73,-45.615223999999998,168.408076999999990,P
73,74,-39.163874999999997,173.861404999999990,B
74,75,-39.225239999999999,173.896075999999990,C
75,76,-39.306457999999999,173.789007000000000,T
76,77,-36.083190000000002,173.982024999999990,H
77,78,-36.159503000000001,174.071715000000010,P
78,79,-35.904404000000000,174.124968999999990,B
79,80,-36.035266000000000,174.462188000000000,C
80,81,-35.848771999999997,174.259105000000010,T
81,82,-46.161397999999998,167.697617000000010,H
82,83,-46.331871000000000,167.986515999999990,P
83,84,-46.153937999999997,168.265906000000000,B
84,85,-46.338690999999997,167.894569999999990,C
85,86,-43.675362999999997,171.581759000000010,T
86,87,-37.763269000000001,175.310945000000000,H
87,88,-43.357007000000003,172.600092999999990,P
88,89,-43.301105000000000,172.610419000000010,B
89,90,-43.360571999999998,172.544720000000010,C
90,91,-43.296542000000002,172.684089000000000,T
91,92,-38.215242000000003,175.853417000000010,H
92,93,-38.110621999999999,175.674006999999990,P
93,94,-38.173786000000000,175.858549000000010,B
94,95,-41.151083000000000,175.323126000000000,C
95,96,-41.119627999999999,175.315375999999990,T
96,97,-40.941682000000000,175.670688000000010,H
97,98,-41.133487000000002,175.330628999999990,P
98,99,-41.136958999999997,175.306344000000000,B
99,100,-41.041145999999998,175.465559000000010,C
100,101,-41.049540000000000,175.566387999999990,T
101,102,-41.022801000000001,175.528572000000000,H
102,103,-40.257925000000000,175.340668999999990,P
103,104,-39.635705000000002,174.395870000000000,B
104,105,-39.524481000000002,174.250477999999990,C
105,106,-39.522734000000000,174.247536000000000,T
106,107,-39.657277000000001,174.409867999999990,H
107,108,-39.672006000000003,174.439028000000010,P
108,109,-39.760769000000003,174.673093999999990,B
109,110,-39.754316000000003,174.485449999999990,C
110,111,-39.155987000000003,174.257622000000000,T
111,112,-39.335197999999998,174.326023999999990,H
112,113,-39.305387000000003,174.325292999999990,P
113,114,-40.306786000000002,175.891961000000010,B
114,115,-40.394846999999999,175.804100000000010,C
115,116,-40.384656000000000,175.807864999999990,T
116,117,-40.574351999999998,175.643401000000010,H
117,118,-40.064708000000003,176.174643000000000,P
118,119,-37.555959999999999,175.878586000000010,B
119,120,-37.749212000000000,175.670688700000000,C
120,121,-37.529435999999997,175.611875000000000,T
121,122,-37.768641700000003,176.293909300000000,H
122,123,-37.923617000000000,175.677566000000010,P
123,124,-40.878884999999997,172.778973000000010,B
124,125,-40.843471999999998,172.784346000000000,C
125,126,-40.874730999999997,172.794144999999990,T
126,127,-40.846488999999998,172.766029000000000,H
127,128,-37.903630999999997,175.849819999999990,P
128,129,-37.995012000000003,175.804809000000010,B
129,130,-37.963419000000002,175.688133999999990,C
130,131,-40.324547000000003,175.371640000000010,T
131,132,-40.128878000000000,175.681976999999990,H
132,133,-40.063366000000002,175.777859000000010,P
133,134,-41.600321999999998,172.784527999999990,B
134,135,-41.429703000000003,172.725198000000010,C
135,136,-38.146681999999998,175.394603999999990,T
136,137,-38.205704699999998,175.590886500000010,H
137,138,-40.186118000000000,176.200190999999990,P
138,139,-39.984977999999998,176.577847999999990,B
139,140,-46.329442999999998,168.741127000000010,C
140,141,-46.408808999999998,168.701506999999990,T
141,142,-46.319133000000001,168.601528000000000,H
142,143,-46.319915999999999,168.593650000000000,P
143,144,-38.960901000000000,175.371567000000000,B
144,145,-43.790202000000001,172.321506000000000,C
145,146,-38.206654000000000,175.382894999999990,T
146,147,-38.260958000000002,175.277242000000000,H
147,148,-38.096324000000003,175.186876000000010,P
148,149,-38.227803000000002,175.247784000000000,B
149,150,-43.947318199999998,171.260929400000010,C
150,151,-44.033831999999997,171.738902000000000,T
151,152,-43.908760999999998,171.743106000000010,H
152,153,-38.150364000000003,175.360276000000000,P
153,154,-38.204797999999997,175.648289000000010,B
154,155,-45.076523000000002,170.872345000000000,C
155,156,-44.948438000000003,170.907444000000000,T
156,157,-44.979210999999999,171.022772000000000,H
157,158,-44.993217999999999,171.038444000000000,P
158,159,-44.941595999999997,170.896532000000010,B
159,160,-44.949331000000001,171.071885000000010,C
160,161,-37.587403000000002,175.733128999999990,T
161,162,-37.620113000000003,175.448645000000000,H
162,163,-39.451374999999999,173.846678000000000,P
163,164,-38.206738999999999,175.278493000000000,B
164,165,-38.054819999999999,175.717064999999990,C
165,166,-38.019272999999998,175.769161000000000,T
166,167,-44.044685000000001,171.618714000000010,H
167,168,-43.943494999999999,171.522805000000010,P
168,169,-44.027934000000002,171.460083999999990,B
169,170,-43.780124999999998,171.534690000000010,C
170,171,-43.747655999999999,172.117830000000000,T
171,172,-43.673855000000003,172.406665000000000,H
172,173,-43.722237999999997,171.567814000000000,P
173,174,-44.194141999999999,171.311574000000010,B
174,176,-43.851173000000003,171.709830000000010,T
175,177,-44.946610000000000,171.101159999999990,H
176,178,-38.455095999999998,176.355498000000010,P
177,179,-37.968387000000000,175.291844000000000,B
178,180,-38.129832999999998,175.360622000000010,C
179,181,-37.906931000000000,175.152346999999990,T
180,182,-37.976584000000003,175.339257000000000,H
181,183,-38.147969600000003,175.588148600000010,P
182,184,-38.484017999999999,176.339695000000010,B
183,185,-36.648681000000003,174.484145000000010,C
184,186,-36.700032999999998,174.449682999999990,T
185,187,-41.223348000000001,173.596688000000000,H
186,188,-41.288857999999998,173.851679999999990,P
187,189,-45.899957999999998,169.293022000000010,B
188,190,-46.099072000000000,169.063783000000000,C
189,191,-46.127910000000000,169.300908999999990,T
190,192,-46.257015000000003,168.841199999999990,H
191,193,-46.104044999999999,168.463101999999990,P
192,194,-46.005972999999997,168.386810000000000,B
193,195,-46.204160999999999,168.552656000000010,C
194,196,-46.309026000000003,168.379426000000000,T
195,197,-46.161814000000000,168.302832999999990,H
196,198,-46.163167000000001,168.596181000000000,P
197,199,-46.262231000000000,167.971611000000000,B
198,200,-46.330638999999998,168.426058000000010,C