lon,lat,pptn,Month
108.7500151,14.0833372,171,June
108.4166817,14.25000387,119,July
107.250015,11.25000372,192,August
106.0833483,22.41667096,88,September
106.4166816,22.08333761,97,October
107.4166817,10.58333701,208,November
107.250015,15.75000395,99,December
105.9166816,21.58333759,122,January
104.4166815,20.41667086,96,February
105.2500149,8.916670261,217,March
107.4166817,11.75000374,167,April
105.0833482,19.25000413,129,May
105.7500149,19.58333748,143,June
104.7500149,22.08333761,121,July
105.0833482,18.75000411,121,August
107.9166817,15.58333728,167,September
103.4166814,21.41667091,88,October
104.7500149,19.08333746,130,November
105.7500149,10.25000366,220,December
108.0833484,15.08333725,124,January
106.0833483,20.25000419,145,February
107.250015,21.08333756,126,March
109.0833484,14.0833372,192,April
106.4166816,11.25000372,197,May
105.5833482,10.41667034,218,June
109.0833484,12.91667047,186,July
103.2500148,21.41667091,84,August
108.4166817,13.58333717,171,September
107.0833483,21.25000424,120,October
106.9166816,11.41667039,190,November
106.9166816,11.75000374,185,December
108.7500151,15.08333725,189,January
108.250015,11.41667039,169,February
103.7500148,21.25000424,83,March
104.5833482,21.41667091,62,April
105.9166816,21.75000426,112,May
108.4166817,11.91667042,111,June
105.4166816,19.75000416,134,July
108.4166817,15.08333725,166,August
104.5833482,22.08333761,112,September
105.5833482,18.25000408,146,October
107.0833483,11.41667039,188,November
105.5833482,20.58333754,127,December
105.2500149,9.250003612,216,January
107.4166817,15.58333728,129,February
105.7500149,19.41667081,143,March
108.5833484,14.7500039,160,April
106.5833483,10.91667037,206,May
103.5833481,21.58333759,88,June
105.2500149,21.58333759,114,July
105.0833482,10.41667034,216,August
108.250015,11.08333704,192,September
103.4166814,21.91667094,89,October
108.9166817,12.91667047,183,November
107.250015,10.58333701,209,December
104.7500149,21.41667091,99,January
106.2500149,20.25000419,147,February
106.750015,22.75000432,90,March
109.0833484,12.58333712,198,April
107.5833483,21.41667091,115,May
105.7500149,19.75000416,141,June
105.4166816,19.25000413,142,July
104.0833481,21.75000426,54,August
105.9166816,21.41667091,126,September
104.4166815,19.58333748,102,October
105.5833482,19.75000416,138,November
104.2500148,21.75000426,59,December
104.9166815,20.25000419,110,January
106.4166816,17.25000403,150,February
108.250015,14.25000387,120,March
105.4166816,20.58333754,113,April
107.9166817,12.08333709,151,May
105.4166816,9.250003612,217,June
103.2500148,22.08333761,95,July
105.0833482,9.250003612,216,August
108.5833484,14.58333722,135,September
108.9166817,13.08333714,189,October
108.4166817,13.4166705,173,November
104.9166815,21.91667094,121,December
107.250015,16.58333733,170,January
104.7500149,21.75000426,116,February
105.4166816,10.58333701,217,March
106.9166816,16.91667068,167,April
107.250015,10.75000369,198,May
108.4166817,11.08333704,196,June
105.2500149,9.750003638,216,July
105.4166816,21.91667094,107,August
105.7500149,22.25000429,89,September
106.0833483,10.75000369,212,October
104.4166815,22.58333764,84,November
104.7500149,21.08333756,98,December
106.750015,21.58333759,101,January
104.4166815,21.91667094,98,February
108.250015,12.41667044,152,March
106.5833483,11.25000372,194,April
104.7500149,20.25000419,101,May
104.5833482,21.75000426,97,June
105.2500149,20.75000421,116,July
108.9166817,13.58333717,167,August
106.9166816,11.91667042,184,September
106.2500149,10.91667037,207,October
102.5833481,22.41667096,95,November
106.750015,10.41667034,218,December
107.4166817,15.75000395,132,January
104.7500149,22.58333764,91,February
105.5833482,19.25000413,144,March
107.750015,11.08333704,177,April
107.9166817,15.4166706,150,May
105.7500149,21.25000424,127,June
104.4166815,19.41667081,111,July
106.750015,21.91667094,97,August
107.9166817,15.08333725,83,September
105.0833482,22.91667099,94,October
108.9166817,14.7500039,183,November
106.2500149,11.41667039,199,December
107.0833483,16.750004,171,January
105.7500149,18.08333741,149,February
108.5833484,13.75000385,162,March
108.7500151,14.7500039,174,April
105.5833482,22.75000432,81,May
103.4166814,22.08333761,111,June
109.0833484,13.58333717,181,July
106.2500149,10.25000366,219,August
104.5833482,21.25000424,92,September
108.0833484,14.91667057,96,October
105.2500149,23.08333767,89,November
106.2500149,11.58333707,198,December
103.9166815,22.25000429,61,January
104.7500149,19.75000416,77,February
105.4166816,22.91667099,96,March
108.0833484,15.75000395,180,April
106.4166816,22.41667096,93,May
105.2500149,10.25000366,217,June
105.9166816,20.08333751,141,July
108.7500151,13.75000385,155,August
108.250015,13.25000382,154,September
107.750015,13.25000382,175,October
102.7500147,22.25000429,96,November
105.4166816,10.91667037,215,December
107.4166817,16.41667065,169,January
108.0833484,13.08333714,164,February
103.9166815,22.08333761,70,March
106.4166816,21.08333756,138,April
105.4166816,18.25000408,111,May
103.5833481,21.91667094,103,June
108.250015,11.75000374,140,July
103.7500148,20.75000421,78,August
103.0833481,22.08333761,102,September
105.0833482,20.75000421,106,October
105.7500149,18.75000411,156,November
105.4166816,9.416670287,217,December
108.250015,15.4166706,175,January
105.5833482,18.58333743,155,February
103.7500148,22.41667096,57,March
104.7500149,18.91667078,111,April
108.4166817,11.58333707,139,May
106.4166816,22.25000429,96,June
106.750015,10.91667037,205,July
106.9166816,16.58333733,155,August
108.250015,12.25000377,148,September
107.5833483,11.91667042,155,October
108.4166817,12.91667047,162,November
106.750015,17.08333735,164,December
103.0833481,22.41667096,75,January
105.4166816,19.41667081,138,February
108.4166817,14.7500039,130,March
105.0833482,22.58333764,114,April
107.5833483,15.91667063,133,May
106.2500149,21.08333756,137,June
107.750015,14.58333722,131,July
105.5833482,18.91667078,151,August
108.7500151,13.58333717,149,September
107.0833483,16.91667068,172,October
109.0833484,13.75000385,193,November
105.2500149,21.91667094,115,December
104.9166815,22.91667099,112,January
105.2500149,20.08333751,125,February
109.0833484,12.41667044,190,March
107.750015,12.91667047,178,April
107.9166817,14.0833372,129,May
106.4166816,10.75000369,210,June
107.5833483,12.41667044,147,July
103.2500148,22.41667096,98,August
104.2500148,22.75000432,90,September
105.2500149,9.583336962,217,October
103.2500148,21.75000426,90,November
107.9166817,13.58333717,161,December
103.0833481,21.75000426,94,January
108.4166817,15.4166706,179,February
105.9166816,9.583336962,219,March
107.750015,15.58333728,158,April
103.9166815,20.91667089,100,May
107.5833483,11.41667039,173,June
105.2500149,21.41667091,113,July
104.7500149,22.75000432,69,August
105.4166816,18.58333743,150,September
104.9166815,19.41667081,110,October
103.2500148,21.25000424,88,November
107.750015,15.91667063,149,December
105.9166816,20.91667089,137,January
105.4166816,23.08333767,87,February
109.0833484,13.4166705,190,March
107.4166817,10.91667037,195,April
105.0833482,9.583336962,216,May
105.4166816,21.75000426,113,June
107.750015,14.7500039,123,July
106.2500149,9.750003638,221,August
104.0833481,19.41667081,96,September
104.9166815,20.91667089,101,October
106.5833483,11.91667042,189,November
108.7500151,13.08333714,186,December
105.9166816,22.58333764,78,January
108.4166817,12.41667044,119,February
108.5833484,11.91667042,115,March
103.9166815,21.91667094,84,April
106.5833483,9.916670313,221,May
105.9166816,18.25000408,157,June
107.750015,15.4166706,145,July
108.5833484,13.91667052,158,August
106.0833483,9.416670287,220,September
104.9166815,21.75000426,119,October
108.250015,15.58333728,180,November
108.5833484,14.0833372,151,December
105.7500149,20.58333754,136,January
107.5833483,12.08333709,147,February
106.2500149,18.08333741,159,March
105.0833482,22.08333761,120,April
108.5833484,11.41667039,174,May
107.750015,16.0833373,154,June
106.750015,21.75000426,100,July
105.2500149,20.25000419,124,August
104.4166815,20.91667089,81,September
107.750015,10.91667037,192,October
104.5833482,20.75000421,80,November
102.9166814,22.41667096,78,December
108.4166817,15.75000395,189,January
107.5833483,14.25000387,134,February
105.5833482,9.250003612,218,March
105.0833482,19.41667081,119,April
105.2500149,19.75000416,128,May
105.2500149,19.41667081,133,June
103.7500148,22.58333764,96,July
109.0833484,11.91667042,198,August
106.4166816,18.08333741,163,September
104.9166815,22.08333761,120,October
105.9166816,17.91667073,149,November
107.5833483,13.75000385,162,December
107.250015,12.25000377,153,January
103.5833481,21.41667091,77,February
106.5833483,17.4166707,166,March
107.5833483,13.25000382,176,April
107.4166817,21.58333759,96,May
104.5833482,22.58333764,81,June
107.5833483,15.4166706,117,July
105.0833482,19.08333746,139,August
108.9166817,14.58333722,176,September
102.4166814,22.58333764,94,October
107.0833483,10.58333701,212,November
104.9166815,20.58333754,103,December
106.5833483,21.75000426,99,January
105.7500149,21.75000426,116,February
107.9166817,12.75000379,177,March
106.2500149,21.25000424,132,April
105.4166816,22.58333764,100,May
108.0833484,10.91667037,195,June
107.750015,11.58333707,139,July
106.2500149,17.91667073,154,August
105.7500149,18.25000408,152,September
106.5833483,20.58333754,148,October
107.750015,13.08333714,176,November
106.9166816,16.41667065,137,December
106.2500149,17.58333738,151,January
103.7500148,21.75000426,101,February
108.7500151,14.41667055,150,March
106.5833483,20.91667089,144,April
106.2500149,22.25000429,98,May
105.7500149,21.91667094,114,June
106.9166816,17.08333735,170,July
105.2500149,9.916670313,216,August
105.0833482,9.916670313,215,September
107.4166817,14.25000387,151,October
107.5833483,14.7500039,134,November
106.0833483,21.91667094,101,December
107.750015,11.25000372,163,January
105.7500149,10.91667037,213,February
105.7500149,22.58333764,95,March
106.4166816,20.91667089,142,April
109.2500151,13.91667052,200,May
104.4166815,22.25000429,120,June
108.0833484,15.91667063,178,July
104.0833481,19.25000413,61,August
107.750015,14.25000387,136,September
105.9166816,22.41667096,92,October
106.750015,10.58333701,215,November
107.250015,11.41667039,181,December
108.4166817,11.41667039,184,January
106.750015,11.08333704,198,February
105.7500149,22.75000432,76,March
108.5833484,12.75000379,170,April
105.9166816,20.41667086,140,May
